                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3111,                 1.3554,                 1.1496,                0.94742,                0.91998,                0.96511,                0.64263,                 1.1431,                 1.0221,                 1.0942,             0.00066125,             0.00066125,             0.00066125
                      2,                 1.2045,                0.86795,                  1.117,                 0.9601,                0.92016,                0.96532,                 0.6722,                 1.0891,                0.77827,                 1.0688,              0.0012403,              0.0012403,              0.0012403
                      3,                  1.186,                0.76799,                 1.1128,                0.96314,                 0.9635,                0.98567,                 0.7008,                 1.0137,                0.60896,                 1.0438,              0.0017313,              0.0017313,              0.0017313
                      4,                   1.14,                  0.707,                 1.0977,                0.96418,                0.95131,                 0.9802,                0.68114,                 1.0659,                 0.5727,                 1.0717,               0.001604,               0.001604,               0.001604
                      5,                 1.1127,                0.64763,                 1.0826,                0.97602,                0.96894,                0.98892,                0.71958,                0.98404,                0.51837,                 1.0315,               0.001472,               0.001472,               0.001472
                      6,                 1.0659,                0.58709,                 1.0742,                0.98016,                0.98151,                0.98868,                0.72278,                0.99175,                0.48899,                 1.0376,                0.00134,                0.00134,                0.00134
                      7,                 1.0282,                0.55149,                 1.0509,                0.97609,                0.97333,                0.98859,                0.73062,                0.96958,                 0.4732,                 1.0236,               0.001208,               0.001208,               0.001208
                      8,                 1.0119,                0.53094,                 1.0505,                0.98585,                0.98512,                0.99076,                0.74826,                 0.9276,                0.44087,                 1.0057,               0.001076,               0.001076,               0.001076
                      9,                0.99128,                0.50525,                 1.0378,                0.98289,                0.98743,                0.99189,                0.74153,                0.93503,                 0.4229,                 1.0076,               0.000944,               0.000944,               0.000944
                     10,                0.96695,                0.47403,                  1.027,                0.97984,                0.98801,                0.98958,                0.75308,                0.93257,                0.40236,                 1.0057,               0.000812,               0.000812,               0.000812
                     11,                0.94115,                0.45441,                 1.0145,                0.98445,                0.98617,                0.99082,                0.75956,                0.94763,                0.41055,                 0.9957,                0.00068,                0.00068,                0.00068
                     12,                0.92095,                0.44146,                 1.0091,                0.98419,                0.99156,                0.99174,                0.78041,                0.86187,                0.37318,                0.97022,               0.000548,               0.000548,               0.000548
                     13,                0.90505,                0.42536,                0.99593,                0.98644,                0.98956,                0.99128,                0.78796,                0.84525,                0.35937,                0.96372,               0.000416,               0.000416,               0.000416
                     14,                0.87921,                0.40815,                0.98616,                0.98719,                0.99306,                 0.9913,                0.78712,                0.83814,                0.34956,                0.96191,               0.000284,               0.000284,               0.000284
                     15,                0.85411,                0.38948,                 0.9723,                 0.9834,                0.99481,                0.99113,                0.79564,                0.81966,                 0.3364,                0.94803,               0.000152,               0.000152,               0.000152
